,,,,
Saldos de productos,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,
811003961-9,,,,
"Miércoles, 31 de Diciembre de 2025 ",,,,
,,,,
,,,,
Código producto,Nombre producto,Referencia de fábrica,Saldo cantidades,
Bodega: 6 - COLSABOR UNICA,,,622.00,
101057,R057,,622.00,
Producto: 101058 - R058,,,"8,183.00",
Bodega: 6 - COLSABOR UNICA,,,"8,183.00",
101058,R058,,"8,183.00",
Producto: 101059 - R059,,,"1,105.00",
Bodega: 6 - COLSABOR UNICA,,,"1,105.00",
101059,R059,,"1,105.00",
Producto: 101060 - R060,,,"200,822.24",
Bodega: 6 - COLSABOR UNICA,,,"200,822.24",
101060,R060,,"200,822.24",
Producto: 101061 - R061,,,852.00,
Bodega: 6 - COLSABOR UNICA,,,852.00,
101061,R061,,852.00,
Producto: 101062 - R062 AL 20%,,,156.00,
Bodega: 6 - COLSABOR UNICA,,,156.00,
101062,R062 AL 20%,,156.00,
Producto: 101062P - R062 PURO,,,237.00,
Bodega: 6 - COLSABOR UNICA,,,237.00,
101062P,R062 PURO,,237.00,
Producto: 101063 - R063,,,579.00,
Bodega: 6 - COLSABOR UNICA,,,579.00,
101063,R063,,579.00,
Producto: 101064 - R064,,,319.00,
Bodega: 6 - COLSABOR UNICA,,,319.00,
101064,R064,,319.00,
Producto: 101066 - R066,,,"4,402.00",
Bodega: 6 - COLSABOR UNICA,,,"4,402.00",
101066,R066,,"4,402.00",
Producto: 101067 - R067,,,"1,025.00",
Bodega: 6 - COLSABOR UNICA,,,"1,025.00",
101067,R067,,"1,025.00",
Producto: 101068 - R068,,,"5,103.00",
Bodega: 6 - COLSABOR UNICA,,,"5,103.00",
101068,R068,,"5,103.00",
Producto: 101069 - R069,,,744.00,
Bodega: 6 - COLSABOR UNICA,,,744.00,
101069,R069,,744.00,
Producto: 101070 - R070,,,"11,350.00",
Bodega: 6 - COLSABOR UNICA,,,"11,350.00",
101070,R070,,"11,350.00",
Producto: 101070F - R070F,,,"9,500.00",
Bodega: 6 - COLSABOR UNICA,,,"9,500.00",
101070F,R070F,,"9,500.00",
Producto: 101071 - R071,,,"1,000.00",
Bodega: 6 - COLSABOR UNICA,,,"1,000.00",
101071,R071,,"1,000.00",
Producto: 101072 - R072,,,"1,031.00",
Bodega: 6 - COLSABOR UNICA,,,"1,031.00",
101072,R072,,"1,031.00",
Producto: 101074 - R074,,,963.00,
Bodega: 6 - COLSABOR UNICA,,,963.00,
101074,R074,,963.00,
Producto: 101075 - R075,,,"4,070.00",
Bodega: 6 - COLSABOR UNICA,,,"4,070.00",
101075,R075,,"4,070.00",
Producto: 101078 - R078,,,"22,661.17",
Bodega: 6 - COLSABOR UNICA,,,"22,661.17",
101078,R078,,"22,661.17",
Producto: 101079 - R079 PURO,,,40.00,
Bodega: 5 - BODEGA 5,,,40.00,
101079,R079 PURO,,40.00,
Producto: 101080 - R080,,,387.00,
Bodega: 6 - COLSABOR UNICA,,,387.00,
101080,R080,,387.00,
Producto: 101081 - R081,,,"9,614.00",
Bodega: 6 - COLSABOR UNICA,,,"9,614.00",
101081,R081,,"9,614.00",
Producto: 101082 - R082,,,386.00,
Bodega: 6 - COLSABOR UNICA,,,386.00,
101082,R082,,386.00,
Producto: 101084 - R084,,,"10,546.32",
Bodega: 6 - COLSABOR UNICA,,,"10,546.32",
101084,R084,,"10,546.32",
Producto: 101085 - R085,,,769.12,
Bodega: 6 - COLSABOR UNICA,,,769.12,
101085,R085,,769.12,
Producto: 101087 - R087,,,"1,274.29",
Bodega: 6 - COLSABOR UNICA,,,"1,274.29",
101087,R087,,"1,274.29",
Producto: 101088 - R088,,,583.00,
Bodega: 6 - COLSABOR UNICA,,,583.00,
101088,R088,,583.00,
Producto: 101089 - R089,,,"254,300.00",
Bodega: 6 - COLSABOR UNICA,,,"259,300.00",
101089,R089,,"259,300.00",
Bodega: Sin asignar,,,"-5,000.00",
101089,R089,,"-5,000.00",
Producto: 101090 - R090,,,248.95,
Bodega: 6 - COLSABOR UNICA,,,248.95,
101090,R090,,248.95,
Producto: 101092 - R092,,,"7,309.42",
Bodega: 6 - COLSABOR UNICA,,,"7,309.42",
101092,R092,,"7,309.42",
Producto: 101093 - R093,,,"26,262.00",
Bodega: 6 - COLSABOR UNICA,,,"26,262.00",
101093,R093,,"26,262.00",
Producto: 101094 - R094,,,21.90,
Bodega: 5 - BODEGA 5,,,21.90,
101094,R094,,21.90,
Producto: 101095 - R095,,,"1,064.06",
Bodega: 6 - COLSABOR UNICA,,,"1,064.06",
101095,R095,,"1,064.06",
Producto: 101096 - R096,,,31.00,
Bodega: 6 - COLSABOR UNICA,,,31.00,
101096,R096,,31.00,
Producto: 101098 - R098 AL 20%,,,247.00,
Bodega: 6 - COLSABOR UNICA,,,247.00,
101098,R098 AL 20%,,247.00,
Producto: 101098P - R098 PURO,,,"5,001.00",
Bodega: 6 - COLSABOR UNICA,,,"5,001.00",
101098P,R098 PURO,,"5,001.00",
Producto: 101099 - R099,,,"147,639.04",
Bodega: 6 - COLSABOR UNICA,,,"147,639.04",
101099,R099,,"147,639.04",
Producto: 101100 - R100 AL 10%,,,"7,282.00",
Bodega: 6 - COLSABOR UNICA,,,"7,282.00",
101100,R100 AL 10%,,"7,282.00",
Producto: 101101 - R101,,,954.17,
Bodega: 6 - COLSABOR UNICA,,,954.17,
101101,R101,,954.17,
Producto: 101102 - R102,,,"3,576.00",
Bodega: 6 - COLSABOR UNICA,,,"3,576.00",
101102,R102,,"3,576.00",
Producto: 101103 - R103,,,369.00,
Bodega: 5 - BODEGA 5,,,369.00,
101103,R103,,369.00,
Producto: 101104 - R104,,,760.86,
Bodega: 6 - COLSABOR UNICA,,,760.86,
101104,R104,,760.86,
Producto: 101105 - R105,,,"6,372.41",
Bodega: 6 - COLSABOR UNICA,,,"6,372.41",
101105,R105,,"6,372.41",
Producto: 101106 - R106,,,"1,842.00",
Bodega: 6 - COLSABOR UNICA,,,"1,842.00",
101106,R106,,"1,842.00",
Producto: 101107 - R107,,,407.00,
Bodega: 6 - COLSABOR UNICA,,,407.00,
101107,R107,,407.00,
Producto: 101108 - R108,,,770.00,
Bodega: 6 - COLSABOR UNICA,,,770.00,
101108,R108,,770.00,
Producto: 101109 - R109,,,"5,880.00",
Bodega: 6 - COLSABOR UNICA,,,"5,880.00",
101109,R109,,"5,880.00",
Producto: 101110 - R110,,,"1,750.00",
Bodega: 6 - COLSABOR UNICA,,,"1,750.00",
101110,R110,,"1,750.00",
Producto: 101111 - R111,,,"4,845.00",
Bodega: 6 - COLSABOR UNICA,,,"4,845.00",
101111,R111,,"4,845.00",
Producto: 101112 - R112,,,"1,986.00",
Bodega: 6 - COLSABOR UNICA,,,"1,986.00",
101112,R112,,"1,986.00",
Producto: 101113 - R113,,,897.00,
Bodega: 6 - COLSABOR UNICA,,,897.00,
101113,R113,,897.00,
Producto: 101114 - R114,,,"23,594.00",
Bodega: 6 - COLSABOR UNICA,,,"23,594.00",
101114,R114,,"23,594.00",
Producto: 101114F - R114F,,,500.00,
Bodega: 6 - COLSABOR UNICA,,,500.00,
101114F,R114F,,500.00,
Producto: 101115 - R115,,,"5,520.00",
Bodega: 6 - COLSABOR UNICA,,,"5,520.00",
101115,R115,,"5,520.00",
Producto: 101116 - R116,,,"2,354.00",
Bodega: 6 - COLSABOR UNICA,,,"2,354.00",
101116,R116,,"2,354.00",
Producto: 101117 - R117,,,"46,600.00",
Bodega: 6 - COLSABOR UNICA,,,"46,600.00",
101117,R117,,"46,600.00",
Producto: 101117A - R117A,,,0.01,
Bodega: 6 - COLSABOR UNICA,,,0.01,
101117A,R117A,,0.01,
Producto: 101118 - R118,,,"1,000.00",
Bodega: 6 - COLSABOR UNICA,,,"1,000.00",
101118,R118,,"1,000.00",
Producto: 101119 - R119,,,624.23,
Bodega: 6 - COLSABOR UNICA,,,624.23,
101119,R119,,624.23,
Producto: 101120 - R120,,,"2,480.00",
Bodega: 6 - COLSABOR UNICA,,,"2,480.00",
101120,R120,,"2,480.00",
Producto: 101121 - R121 AL 20%,,,509.00,
Bodega: 6 - COLSABOR UNICA,,,509.00,
101121,R121 AL 20%,,509.00,
Producto: 101121P - R121 PURO,,,584.00,
Bodega: 6 - COLSABOR UNICA,,,584.00,
101121P,R121 PURO,,584.00,
Producto: 101122 - R122,,,204.25,
Bodega: 6 - COLSABOR UNICA,,,204.25,
101122,R122,,204.25,
Producto: 101124 - R124,,,512.40,
Bodega: 5 - BODEGA 5,,,512.40,
101124,R124,,512.40,
Producto: 101125 - R125,,,570.00,
Bodega: 6 - COLSABOR UNICA,,,570.00,
101125,R125,,570.00,
Producto: 101126 - R126,,,"2,752.00",
Bodega: 6 - COLSABOR UNICA,,,"2,752.00",
101126,R126,,"2,752.00",
Producto: 101128 - R128,,,"4,234.00",
Bodega: 6 - COLSABOR UNICA,,,"4,234.00",
101128,R128,,"4,234.00",
Producto: 101129 - R129,,,"1,346,365.00",
Bodega: 6 - COLSABOR UNICA,,,"1,346,365.00",
101129,R129,,"1,346,365.00",
Producto: 101130 - AROMATICOS R130,,,-0.48,
Bodega: 6 - COLSABOR UNICA,,,-0.48,
101130,AROMATICOS R130,,-0.48,
Producto: 101131 - R131,,,472.00,
Bodega: 6 - COLSABOR UNICA,,,472.00,
101131,R131,,472.00,
Producto: 101132 - R132,,,29.80,
Bodega: 6 - COLSABOR UNICA,,,29.80,
101132,R132,,29.80,
Producto: 101133 - R133,,,"2,284.00",
Bodega: 6 - COLSABOR UNICA,,,"2,284.00",
101133,R133,,"2,284.00",
Producto: 101134 - R134,,,64.00,
Bodega: 6 - COLSABOR UNICA,,,64.00,
101134,R134,,64.00,
Producto: 101135 - R135,,,890.00,
Bodega: 6 - COLSABOR UNICA,,,890.00,
101135,R135,,890.00,
Producto: 101136 - R136,,,"14,200.00",
Bodega: 6 - COLSABOR UNICA,,,"14,200.00",
101136,R136,,"14,200.00",
Producto: 101137 - R137,,,"2,598.00",
Bodega: 6 - COLSABOR UNICA,,,"2,598.00",
101137,R137,,"2,598.00",
Producto: 101138 - R138,,,400.00,
Bodega: 5 - BODEGA 5,,,400.00,
101138,R138,,400.00,
Producto: 101139 - R139,,,"6,010.00",
Bodega: 6 - COLSABOR UNICA,,,"6,010.00",
101139,R139,,"6,010.00",
Producto: 101140 - R140,,,259.50,
Bodega: 5 - BODEGA 5,,,259.50,
101140,R140,,259.50,
Producto: 101141 - R141,,,57.00,
Bodega: 5 - BODEGA 5,,,57.00,
101141,R141,,57.00,
Producto: 101142 - R142,,,860.00,
Bodega: 6 - COLSABOR UNICA,,,860.00,
101142,R142,,860.00,
Producto: 101143 - R143,,,"2,488.18",
Bodega: 6 - COLSABOR UNICA,,,"2,488.18",
101143,R143,,"2,488.18",
Producto: 101144 - R144,,,282.00,
Bodega: 6 - COLSABOR UNICA,,,282.00,
101144,R144,,282.00,
Producto: 101145 - R145,,,"28,390.00",
Bodega: 6 - COLSABOR UNICA,,,"28,390.00",
101145,R145,,"28,390.00",
Producto: 101146 - R146,,,"18,000.00",
Bodega: 6 - COLSABOR UNICA,,,"18,000.00",
101146,R146,,"18,000.00",
Producto: 101147 - R147,,,510.00,
Bodega: 5 - BODEGA 5,,,510.00,
101147,R147,,510.00,
Producto: 101148 - R148,,,"9,079.00",
Bodega: 6 - COLSABOR UNICA,,,"9,079.00",
101148,R148,,"9,079.00",
Producto: 101149 - R149 PURO,,,880.00,
Bodega: 6 - COLSABOR UNICA,,,880.00,
101149,R149 PURO,,880.00,
Producto: 101151 - R151,,,"1,682.33",
Bodega: 6 - COLSABOR UNICA,,,"1,682.33",
101151,R151,,"1,682.33",
Producto: 101152 - R152,,,"10,389.14",
Bodega: 6 - COLSABOR UNICA,,,"10,389.14",
101152,R152,,"10,389.14",
Producto: 101153 - R153,,,"14,850.00",
Bodega: 6 - COLSABOR UNICA,,,"14,850.00",
101153,R153,,"14,850.00",
Producto: 101154 - R154,,,728.00,
Bodega: 6 - COLSABOR UNICA,,,728.00,
101154,R154,,728.00,
Producto: 101155R - R155P,,,718.00,
Bodega: 6 - COLSABOR UNICA,,,718.00,
101155R,R155P,,718.00,
Producto: 101156 - R156,,,"40,369.00",
Bodega: 6 - COLSABOR UNICA,,,"40,369.00",
101156,R156,,"40,369.00",
Producto: 101157 - R157,,,"6,950.00",
Bodega: 6 - COLSABOR UNICA,,,"6,950.00",
101157,R157,,"6,950.00",
Producto: 101158 - R158,,,"1,066.14",
Bodega: 6 - COLSABOR UNICA,,,"1,066.14",
101158,R158,,"1,066.14",
Producto: 101159 - R159,,,475.00,
Bodega: 6 - COLSABOR UNICA,,,475.00,
101159,R159,,475.00,
Producto: 101160 - R160,,,"26,575.44",
Bodega: 6 - COLSABOR UNICA,,,"26,575.44",
101160,R160,,"26,575.44",
Producto: 101161 - R161,,,790.00,
Bodega: 6 - COLSABOR UNICA,,,790.00,
101161,R161,,790.00,
Producto: 101162 - R162P,,,645.00,
Bodega: 6 - COLSABOR UNICA,,,645.00,
101162,R162P,,645.00,
Producto: 101162T - R162T,,,"2,465.00",
Bodega: 6 - COLSABOR UNICA,,,"2,465.00",
101162T,R162T,,"2,465.00",
Producto: 101164 - R164,,,"20,550.00",
Bodega: 6 - COLSABOR UNICA,,,"23,550.00",
101164,R164,,"23,550.00",
Bodega: Sin asignar,,,"-3,000.00",
101164,R164,,"-3,000.00",
Producto: 101165 - R165,,,"25,385.64",
Bodega: 6 - COLSABOR UNICA,,,"25,385.64",
101165,R165,,"25,385.64",
Producto: 101168 - R168,,,"1,436.85",
Bodega: 6 - COLSABOR UNICA,,,"1,436.85",
101168,R168,,"1,436.85",
Producto: 101170 - R170 AL 10,,,"1,553.64",
Bodega: 6 - COLSABOR UNICA,,,"1,553.64",
101170,R170 AL 10,,"1,553.64",
Producto: 101172 - AROMATICOS R172,,,-0.07,
Bodega: 6 - COLSABOR UNICA,,,-0.07,
101172,AROMATICOS R172,,-0.07,
Producto: 101174 - R174,,,722.00,
Bodega: 5 - BODEGA 5,,,722.00,
101174,R174,,722.00,
Producto: 101175 - R175,,,342.21,
Bodega: 6 - COLSABOR UNICA,,,342.21,
101175,R175,,342.21,
Producto: 101176 - R176,,,"4,704.00",
Bodega: 6 - COLSABOR UNICA,,,"4,704.00",
101176,R176,,"4,704.00",
Producto: 101177 - R177,,,297.00,
Bodega: 5 - BODEGA 5,,,297.00,
101177,R177,,297.00,
Producto: 101178 - R178,,,841.52,
Bodega: 6 - COLSABOR UNICA,,,841.52,
101178,R178,,841.52,
Producto: 101180 - R180,,,"2,177.79",
Bodega: 6 - COLSABOR UNICA,,,"2,177.79",
101180,R180,,"2,177.79",
Producto: 101181 - R181,,,211.00,
Bodega: 5 - BODEGA 5,,,211.00,
101181,R181,,211.00,
Producto: 101182 - R182,,,"11,620.00",
Bodega: 6 - COLSABOR UNICA,,,"11,620.00",
101182,R182,,"11,620.00",
Producto: 101187 - R187,,,423.00,
