,,,,
Saldos de productos,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,
811003961-9,,,,
"Miércoles, 31 de Diciembre de 2025 ",,,,
,,,,
,,,,
Código producto,Nombre producto,Referencia de fábrica,Saldo cantidades,
Producto: 108149A1 - R149 AL 1%,,,107.00,
Bodega: 6 - COLSABOR UNICA,,,107.00,
108149A1,R149 AL 1%,,107.00,
Producto: 108151A - R151 AL 10%,,,430.00,
Bodega: 6 - COLSABOR UNICA,,,430.00,
108151A,R151 AL 10%,,430.00,
Producto: 108152A - R152 AL 10%,,,706.00,
Bodega: 6 - COLSABOR UNICA,,,706.00,
108152A,R152 AL 10%,,706.00,
Producto: 108152A1 - R152 AL 1%,,,-1.01,
Bodega: 6 - COLSABOR UNICA,,,-1.01,
108152A1,R152 AL 1%,,-1.01,
Producto: 108154A - R154 AL 10%,,,11.00,
Bodega: 6 - COLSABOR UNICA,,,11.00,
108154A,R154 AL 10%,,11.00,
Producto: 108154A1 - R154 AL 1%,,,347.28,
Bodega: 6 - COLSABOR UNICA,,,347.28,
108154A1,R154 AL 1%,,347.28,
Producto: 108154A50 - R154 AL 50%,,,-0.02,
Bodega: 6 - COLSABOR UNICA,,,-0.02,
108154A50,R154 AL 50%,,-0.02,
Producto: 108157A - R157 AL 10%,,,13.00,
Bodega: 6 - COLSABOR UNICA,,,13.00,
108157A,R157 AL 10%,,13.00,
Producto: 108158A - R158 AL 10%,,,165.00,
Bodega: 6 - COLSABOR UNICA,,,165.00,
108158A,R158 AL 10%,,165.00,
Producto: 108158A1 - R158 AL 1%,,,95.00,
Bodega: 6 - COLSABOR UNICA,,,95.00,
108158A1,R158 AL 1%,,95.00,
Producto: 108159A - R159 AL 10%,,,157.00,
Bodega: 6 - COLSABOR UNICA,,,157.00,
108159A,R159 AL 10%,,157.00,
Producto: 108159A1 - R159 AL 1%,,,351.00,
Bodega: 6 - COLSABOR UNICA,,,351.00,
108159A1,R159 AL 1%,,351.00,
Producto: 108160A - R160 AL 10%,,,63.00,
Bodega: 6 - COLSABOR UNICA,,,63.00,
108160A,R160 AL 10%,,63.00,
Producto: 108168A - R168 AL 10%,,,247.00,
Bodega: 6 - COLSABOR UNICA,,,247.00,
108168A,R168 AL 10%,,247.00,
Producto: 108169A - R169 AL 10%,,,"1,508.00",
Bodega: 6 - COLSABOR UNICA,,,"1,508.00",
108169A,R169 AL 10%,,"1,508.00",
Producto: 108172A - R172 LA 10%,,,-0.70,
Bodega: 6 - COLSABOR UNICA,,,-0.70,
108172A,R172 LA 10%,,-0.70,
Producto: 108175A1 - R175 AL 1%,,,36.02,
Bodega: 6 - COLSABOR UNICA,,,36.02,
108175A1,R175 AL 1%,,36.02,
Producto: 108176A - R176 AL 10%,,,315.91,
Bodega: 6 - COLSABOR UNICA,,,315.91,
108176A,R176 AL 10%,,315.91,
Producto: 108176A1 - R176 AL 1%,,,25.00,
Bodega: 6 - COLSABOR UNICA,,,25.00,
108176A1,R176 AL 1%,,25.00,
Producto: 108178A - R178 AL 10%,,,260.00,
Bodega: 6 - COLSABOR UNICA,,,260.00,
108178A,R178 AL 10%,,260.00,
Producto: 108178A1 - R178 AL 1%,,,130.00,
Bodega: 6 - COLSABOR UNICA,,,130.00,
108178A1,R178 AL 1%,,130.00,
Producto: 108179A - R179 AL 10%,,,"1,159.00",
Bodega: 6 - COLSABOR UNICA,,,"1,159.00",
108179A,R179 AL 10%,,"1,159.00",
Producto: 108179A1 - R179 AL 1%,,,45.00,
Bodega: 6 - COLSABOR UNICA,,,45.00,
108179A1,R179 AL 1%,,45.00,
Producto: 108180A - R180 AL 10%,,,252.00,
Bodega: 6 - COLSABOR UNICA,,,252.00,
108180A,R180 AL 10%,,252.00,
Producto: 108192A - R192 AL 10%,,,"4,708.00",
Bodega: 6 - COLSABOR UNICA,,,"4,708.00",
108192A,R192 AL 10%,,"4,708.00",
Producto: 108192A1 - R192 AL 1%,,,3.55,
Bodega: 6 - COLSABOR UNICA,,,3.55,
108192A1,R192 AL 1%,,3.55,
Producto: 108195A - R195 AL 10%,,,125.00,
Bodega: 5 - BODEGA 5,,,133.00,
108195A,R195 AL 10%,,133.00,
Bodega: 6 - COLSABOR UNICA,,,-8.00,
108195A,R195 AL 10%,,-8.00,
Producto: 108195A1 - R195 AL 1%,,,0.02,
Bodega: 6 - COLSABOR UNICA,,,0.02,
108195A1,R195 AL 1%,,0.02,
"Producto: 108197A01 - R197 AL 0,1%",,,33.97,
Bodega: 6 - COLSABOR UNICA,,,33.97,
108197A01,"R197 AL 0,1%",,33.97,
Producto: 108197A1 - R197 AL 1%,,,15.00,
Bodega: 6 - COLSABOR UNICA,,,15.00,
108197A1,R197 AL 1%,,15.00,
Producto: 108199CA - R199CA AL 10%,,,354.98,
Bodega: 6 - COLSABOR UNICA,,,354.98,
108199CA,R199CA AL 10%,,354.98,
Producto: 108204A1 - R204 AL 1%,,,641.00,
Bodega: 6 - COLSABOR UNICA,,,641.00,
108204A1,R204 AL 1%,,641.00,
Producto: 108204P - R204 PURO,,,"6,000.09",
Bodega: 6 - COLSABOR UNICA,,,"6,000.09",
108204P,R204 PURO,,"6,000.09",
Producto: 108205A - R205 AL 10%,,,105.00,
Bodega: 6 - COLSABOR UNICA,,,105.00,
108205A,R205 AL 10%,,105.00,
Producto: 108206 - R206 AL 10%,,,332.00,
Bodega: 6 - COLSABOR UNICA,,,332.00,
108206,R206 AL 10%,,332.00,
Producto: 108207A - R207 AL 10%,,,98.75,
Bodega: 6 - COLSABOR UNICA,,,98.75,
108207A,R207 AL 10%,,98.75,
Producto: 108207A1 - R207 AL 1%,,,308.00,
Bodega: 6 - COLSABOR UNICA,,,308.00,
108207A1,R207 AL 1%,,308.00,
Producto: 108210A - R210 AL 10%,,,113.00,
Bodega: 6 - COLSABOR UNICA,,,113.00,
108210A,R210 AL 10%,,113.00,
Producto: 108211A - R211 AL 10%,,,14.00,
Bodega: 6 - COLSABOR UNICA,,,14.00,
108211A,R211 AL 10%,,14.00,
Producto: 108220A - R220 AL 10%,,,10.00,
Bodega: 6 - COLSABOR UNICA,,,10.00,
108220A,R220 AL 10%,,10.00,
Producto: 108221A - R221 AL 10%,,,46.00,
Bodega: 6 - COLSABOR UNICA,,,46.00,
108221A,R221 AL 10%,,46.00,
Producto: 108226A - R226 AL 10%,,,18.00,
Bodega: 6 - COLSABOR UNICA,,,18.00,
108226A,R226 AL 10%,,18.00,
Producto: 108227A - R227 AL 10%,,,5.00,
Bodega: 6 - COLSABOR UNICA,,,5.00,
108227A,R227 AL 10%,,5.00,
Producto: 108227A1 - R227 AL 1%,,,328.13,
Bodega: 6 - COLSABOR UNICA,,,328.13,
108227A1,R227 AL 1%,,328.13,
Producto: 108229A5 - R229 AL 5%,,,"1,720.49",
Bodega: 6 - COLSABOR UNICA,,,"1,720.49",
108229A5,R229 AL 5%,,"1,720.49",
Producto: 108230A - R230 AL 10%,,,843.00,
Bodega: 6 - COLSABOR UNICA,,,843.00,
108230A,R230 AL 10%,,843.00,
Producto: 108230A20 - R230 AL 20%,,,"1,506.00",
Bodega: 6 - COLSABOR UNICA,,,"1,506.00",
108230A20,R230 AL 20%,,"1,506.00",
Producto: 108232A - R232 AL 10%,,,330.00,
Bodega: 6 - COLSABOR UNICA,,,330.00,
108232A,R232 AL 10%,,330.00,
Producto: 108232A1 - R232 AL 1%,,,29.00,
Bodega: 6 - COLSABOR UNICA,,,29.00,
108232A1,R232 AL 1%,,29.00,
Producto: 108240A - R240 AL 10%,,,343.75,
Bodega: 5 - BODEGA 5,,,343.75,
108240A,R240 AL 10%,,343.75,
Producto: 108240A1 - R240 AL 1%,,,10.00,
Bodega: 6 - COLSABOR UNICA,,,10.00,
108240A1,R240 AL 1%,,10.00,
Producto: 108241A - R241 AL 10%,,,333.00,
Bodega: 6 - COLSABOR UNICA,,,333.00,
108241A,R241 AL 10%,,333.00,
Producto: 108242A - R242 AL 10 %,,,64.00,
Bodega: 6 - COLSABOR UNICA,,,64.00,
108242A,R242 AL 10 %,,64.00,
Producto: 108242A1 - R242 AL 1%,,,98.11,
Bodega: 6 - COLSABOR UNICA,,,98.11,
108242A1,R242 AL 1%,,98.11,
Producto: 108248A - R248 AL 10%,,,5.00,
Bodega: 6 - COLSABOR UNICA,,,5.00,
108248A,R248 AL 10%,,5.00,
Producto: 108250A - R250 AL 10%,,,51.06,
Bodega: 6 - COLSABOR UNICA,,,51.06,
108250A,R250 AL 10%,,51.06,
Producto: 108251 - R251 AL 10%,,,178.00,
Bodega: 6 - COLSABOR UNICA,,,178.00,
108251,R251 AL 10%,,178.00,
Producto: 108255 - R255 AL 10%,,,24.00,
Bodega: 6 - COLSABOR UNICA,,,24.00,
108255,R255 AL 10%,,24.00,
Producto: 108256A - R256 AL 10%,,,96.03,
Bodega: 6 - COLSABOR UNICA,,,96.03,
108256A,R256 AL 10%,,96.03,
Producto: 108262 - R262 AL 10%,,,48.00,
Bodega: 6 - COLSABOR UNICA,,,48.00,
108262,R262 AL 10%,,48.00,
Producto: 10901 - SANDIA AROMA BASE X G.,,,482.00,
Bodega: 5 - BODEGA 5,,,482.00,
10901,SANDIA AROMA BASE X G.,,482.00,
Producto: 10902 - MELON AROMA BASE X G.,,,280.00,
Bodega: 5 - BODEGA 5,,,280.00,
10902,MELON AROMA BASE X G.,,280.00,
Producto: 10903 - LIMPIO AROMA X G.,,,372.00,
Bodega: 5 - BODEGA 5,,,372.00,
10903,LIMPIO AROMA X G.,,372.00,
Producto: 20101 - BIDON GARRAFA X 20 LTS.,,,271.30,
Bodega: 6 - COLSABOR UNICA,,,271.30,
20101,BIDON GARRAFA X 20 LTS.,,271.30,
Producto: 20102 - BIDON X 10 LTS.,,,256.00,
Bodega: 6 - COLSABOR UNICA,,,256.00,
20102,BIDON X 10 LTS.,,256.00,
Producto: 20103 - GARRAFA 4LT REDONDA. ESENCIAS,,,766.00,
Bodega: 6 - COLSABOR UNICA,,,766.00,
20103,GARRAFA 4LT REDONDA. ESENCIAS,,766.00,
Producto: 20104 - GARRAFA #  2 LT,,,108.00,
Bodega: 6 - COLSABOR UNICA,,,108.00,
20104,GARRAFA #  2 LT,,108.00,
Producto: 20105 - FRASCO X 500 CC COLSABOR,,,"4,743.00",
Bodega: 6 - COLSABOR UNICA,,,"4,743.00",
20105,FRASCO X 500 CC COLSABOR,,"4,743.00",
Producto: 20107 - FRASCO * 70 CC,,,"3,721.00",
Bodega: 6 - COLSABOR UNICA,,,"3,721.00",
20107,FRASCO * 70 CC,,"3,721.00",
Producto: 20109 - TAPA Y TAPON GARRAFA CUADRADA 2 Y 4 LITROS (40MM),,,962.50,
Bodega: 6 - COLSABOR UNICA,,,962.50,
20109,TAPA Y TAPON GARRAFA CUADRADA 2 Y 4 LITROS (40MM),,962.50,
Producto: 20110 - TARRO PLASTICO *80 G,,,371.00,
Bodega: 6 - COLSABOR UNICA,,,371.00,
20110,TARRO PLASTICO *80 G,,371.00,
Producto: 20111 - GOTERO X 14 CC,,,"5,273.00",
Bodega: 6 - COLSABOR UNICA,,,"5,273.00",
20111,GOTERO X 14 CC,,"5,273.00",
Producto: 20112 - GOTERO X 60 CC,,,"2,503.00",
Bodega: 6 - COLSABOR UNICA,,,"2,503.00",
20112,GOTERO X 60 CC,,"2,503.00",
Producto: 201135 - ENVASE  1/8 GLUCOSA Y COLORES POLVO  500G,,,285.00,
Bodega: 6 - COLSABOR UNICA,,,285.00,
201135,ENVASE  1/8 GLUCOSA Y COLORES POLVO  500G,,285.00,
Producto: 20115 - BOTELLA PET 750CC VINO,,,105.00,
Bodega: 6 - COLSABOR UNICA,,,105.00,
20115,BOTELLA PET 750CC VINO,,105.00,
Producto: 20116 - TARRINA X 370 CC (TARRO COLORES ECO)CON TAPA,,,-6.00,
Bodega: 6 - COLSABOR UNICA,,,-6.00,
20116,TARRINA X 370 CC (TARRO COLORES ECO)CON TAPA,,-6.00,
Producto: 20117 - FRASCO MUESTRAS ( ED3375AP264T ),,,"1,439.00",
Bodega: 6 - COLSABOR UNICA,,,"1,439.00",
20117,FRASCO MUESTRAS ( ED3375AP264T ),,"1,439.00",
Producto: 20118 - GARRAFA CUADRADA  4LT RECT. SABORES CONCENTRADOS,,,176.25,
Bodega: 6 - COLSABOR UNICA,,,176.25,
20118,GARRAFA CUADRADA  4LT RECT. SABORES CONCENTRADOS,,176.25,
Producto: 20120 - GARRAFA 1000CC ESENCIAS,,,251.00,
Bodega: 6 - COLSABOR UNICA,,,251.00,
20120,GARRAFA 1000CC ESENCIAS,,251.00,
Producto: 20121 - GARRAFA 2000 CC ESENCIAS,,,394.00,
Bodega: 6 - COLSABOR UNICA,,,394.00,
20121,GARRAFA 2000 CC ESENCIAS,,394.00,
Producto: 20123 - GARRAFA X 1 LITRO,,,344.00,
Bodega: 6 - COLSABOR UNICA,,,344.00,
20123,GARRAFA X 1 LITRO,,344.00,
Producto: 20125 - ENVASE 4000 CM3 PARA GLASS,,,176.00,
Bodega: 6 - COLSABOR UNICA,,,176.00,
20125,ENVASE 4000 CM3 PARA GLASS,,176.00,
Producto: 20131 - GOTERO 560 CC,,,169.00,
Bodega: 6 - COLSABOR UNICA,,,169.00,
20131,GOTERO 560 CC,,169.00,
Producto: 20132 - TAPA GOTERO X 560,,,46.00,
Bodega: 6 - COLSABOR UNICA,,,46.00,
20132,TAPA GOTERO X 560,,46.00,
Producto: 20135 - ETIQUETA GENERICA COLSABOR,,,"8,484.75",
Bodega: 6 - COLSABOR UNICA,,,"8,484.75",
20135,ETIQUETA GENERICA COLSABOR,,"8,484.75",
Producto: 20201 - TAPA FRASCOS 70CC-500CC (PARCO BLANCA),,,"26,720.00",
Bodega: 6 - COLSABOR UNICA,,,"26,720.00",
20201,TAPA FRASCOS 70CC-500CC (PARCO BLANCA),,"26,720.00",
Producto: 20204 - TAPA GOTERO EN COLORES ( 7C -60C ),,,"14,193.00",
Bodega: 6 - COLSABOR UNICA,,,"14,193.00",
20204,TAPA GOTERO EN COLORES ( 7C -60C ),,"14,193.00",
Producto: 20205 - TAPA Y TAPON GARRAFAS 3900 ML (ROSCA 40 MM),,,"1,205.00",
Bodega: 6 - COLSABOR UNICA,,,"1,205.00",
20205,TAPA Y TAPON GARRAFAS 3900 ML (ROSCA 40 MM),,"1,205.00",
Producto: 20207 - TAPA 38 MM ROJA,,,-390.00,
Bodega: 6 - COLSABOR UNICA,,,-390.00,
20207,TAPA 38 MM ROJA,,-390.00,
Producto: 20208 - TAPA Y TAPON BIDONES (ROSCA 57 MM)  20 LTS,,,269.80,
Bodega: 5 - BODEGA 5,,,-1.00,
20208,TAPA Y TAPON BIDONES (ROSCA 57 MM)  20 LTS,,-1.00,
Bodega: 6 - COLSABOR UNICA,,,270.80,
20208,TAPA Y TAPON BIDONES (ROSCA 57 MM)  20 LTS,,270.80,
Producto: 20209 - TAPA GARRAFA 1 Y 2 LTS (ROSCA DIAMETRO 32 MM),,,"1,080.00",
Bodega: 5 - BODEGA 5,,,-2.00,
20209,TAPA GARRAFA 1 Y 2 LTS (ROSCA DIAMETRO 32 MM),,-2.00,
Bodega: 6 - COLSABOR UNICA,,,"1,082.00",
20209,TAPA GARRAFA 1 Y 2 LTS (ROSCA DIAMETRO 32 MM),,"1,082.00",
Producto: 20210 - TAPA Y TAPON BIDONES 10 LTS (57MM),,,422.25,
Bodega: 6 - COLSABOR UNICA,,,422.25,
20210,TAPA Y TAPON BIDONES 10 LTS (57MM),,422.25,
Producto: 20212 - TAPA 38 MM 1000 Y 2000 CC,,,566.00,
Bodega: 6 - COLSABOR UNICA,,,566.00,
20212,TAPA 38 MM 1000 Y 2000 CC,,566.00,
Producto: 20214 - TAPA DE ENVASE 500G GLUCOSA,,,326.00,
Bodega: 6 - COLSABOR UNICA,,,326.00,
20214,TAPA DE ENVASE 500G GLUCOSA,,326.00,
Producto: 20229 - TAPA GOTERO X 350,,,-23.00,
Bodega: 6 - COLSABOR UNICA,,,-23.00,
20229,TAPA GOTERO X 350,,-23.00,
Producto: 20230 - TAPA FRASCO GLASS,,,78.00,
Bodega: 6 - COLSABOR UNICA,,,78.00,
20230,TAPA FRASCO GLASS,,78.00,
Producto: 20234 - TAPA SENCILLA R24 (MISSFLAVOR X 260),,,1.00,
Bodega: 6 - COLSABOR UNICA,,,1.00,
20234,TAPA SENCILLA R24 (MISSFLAVOR X 260),,1.00,
"Producto: 20301 - ETIQUETA COLSABOR ( GFA, 10 Y 20 LT )",,,"9,806.33",
Bodega: 6 - COLSABOR UNICA,,,"9,806.33",
20301,"ETIQUETA COLSABOR ( GFA, 10 Y 20 LT )",,"9,806.33",
Producto: 20302 - ETIQUETA FRASCO COLSABOR * 500,,,"10,838.00",
Bodega: 6 - COLSABOR UNICA,,,"10,838.00",
20302,ETIQUETA FRASCO COLSABOR * 500,,"10,838.00",
Producto: 20303 - ETIQUETA 70 CC COLSABOR,,,"8,425.00",
Bodega: 6 - COLSABOR UNICA,,,"8,425.00",
20303,ETIQUETA 70 CC COLSABOR,,"8,425.00",
Producto: 20315 - ETIQUETA COLORANTE 500 G ( TODOS ),,,"3,323.00",
Bodega: 6 - COLSABOR UNICA,,,"3,323.00",
20315,ETIQUETA COLORANTE 500 G ( TODOS ),,"3,323.00",
Producto: 20316 - ETIQUETA COLORANTES LIQUIDOS VARIOS,,,"12,479.36",
Bodega: 6 - COLSABOR UNICA,,,"12,479.36",
20316,ETIQUETA COLORANTES LIQUIDOS VARIOS,,"12,479.36",
Producto: 20317 - ETIQUETA GLASEADOS Y RELLENOS COLSABOR,,,"4,712.02",
Bodega: 6 - COLSABOR UNICA,,,"4,712.02",
20317,ETIQUETA GLASEADOS Y RELLENOS COLSABOR,,"4,712.02",
Producto: 20323 - ETIQUETA MISSFLAVOR GENERAL,,,-48.00,
Bodega: 6 - COLSABOR UNICA,,,-48.00,
20323,ETIQUETA MISSFLAVOR GENERAL,,-48.00,
Producto: 20329 - ETIQUETA NUEVA BAKERMAN X 500 CC,,,"10,109.00",
Bodega: 6 - COLSABOR UNICA,,,"10,109.00",
20329,ETIQUETA NUEVA BAKERMAN X 500 CC,,"10,109.00",
Producto: 20337 - ETIQUETA NUEVA BAKERMAN (2LT-4LT-10LT-20LT),,,"6,274.00",
Bodega: 6 - COLSABOR UNICA,,,"6,274.00",
20337,ETIQUETA NUEVA BAKERMAN (2LT-4LT-10LT-20LT),,"6,274.00",
Producto: 20338 - ETIQUETA NUEVA GLASSEADO BAKERMAN,,,"3,639.00",
Bodega: 6 - COLSABOR UNICA,,,"3,639.00",
20338,ETIQUETA NUEVA GLASSEADO BAKERMAN,,"3,639.00",
Producto: 20339 - ETIQUETA NUEVA MISSFLAVOR,,,"17,151.00",
Bodega: 6 - COLSABOR UNICA,,,"17,151.00",
20339,ETIQUETA NUEVA MISSFLAVOR,,"17,151.00",
Producto: 20350 - ETIQUETA BLANCA 150mm X 100mm GRANDE,,,"1,160.25",
Bodega: 6 - COLSABOR UNICA,,,"1,160.25",
20350,ETIQUETA BLANCA 150mm X 100mm GRANDE,,"1,160.25",
Producto: 20351 - ETIQUETA BLANCA 30 mmx 40 mm MANTILLA,,,"14,658.15",
Bodega: 6 - COLSABOR UNICA,,,"14,658.15",
20351,ETIQUETA BLANCA 30 mmx 40 mm MANTILLA,,"14,658.15",
Producto: 20401 - CAJA Nº 1 ( FRASCOS X 500 CC ),,,433.08,
Bodega: 5 - BODEGA 5,,,-1.00,
20401,CAJA Nº 1 ( FRASCOS X 500 CC ),,-1.00,
Bodega: 6 - COLSABOR UNICA,,,434.08,
20401,CAJA Nº 1 ( FRASCOS X 500 CC ),,434.08,
Producto: 20402 - CAJA N3,,,251.00,
Bodega: 6 - COLSABOR UNICA,,,251.00,
20402,CAJA N3,,251.00,
Producto: 20403 - AVISPEROS,,,550.00,
Bodega: 6 - COLSABOR UNICA,,,550.00,
20403,AVISPEROS,,550.00,
Producto: 20406 - CAJA DISPLAY COLSABOR ( TARRITOS X 70CC ),,,"2,868.65",
Bodega: 6 - COLSABOR UNICA,,,"2,868.65",
20406,CAJA DISPLAY COLSABOR ( TARRITOS X 70CC ),,"2,868.65",
Producto: 20407 - CAJA N° 4  PEQUEÑA,,,158.02,
Bodega: 6 - COLSABOR UNICA,,,158.02,
20407,CAJA N° 4  PEQUEÑA,,158.02,
Producto: 20418 - CAJA Nº 2B,,,583.50,
Bodega: 6 - COLSABOR UNICA,,,583.50,
20418,CAJA Nº 2B,,583.50,
Producto: 20420 - CAJA Nº 2,,,516.00,
Bodega: 6 - COLSABOR UNICA,,,516.00,
20420,CAJA Nº 2,,516.00,
Producto: 20500 - TERMOENCOGIBLE CAJA DISPLAY,,,"16,000.00",
Bodega: 6 - COLSABOR UNICA,,,"16,000.00",
20500,TERMOENCOGIBLE CAJA DISPLAY,,"16,000.00",
Producto: 20501 - TERMOENCOGIBLE 80 MM COLORES LIQUIDOS,,,"7,500.00",
Bodega: 6 - COLSABOR UNICA,,,"7,500.00",
20501,TERMOENCOGIBLE 80 MM COLORES LIQUIDOS,,"7,500.00",
Producto: 20502 - TERMOENCOGIBLE 150 MM  COLOR 500 GRS,,,"6,000.00",
Bodega: 6 - COLSABOR UNICA,,,"6,000.00",
20502,TERMOENCOGIBLE 150 MM  COLOR 500 GRS,,"6,000.00",
Producto: 20503 - TERMOENCOGIBLE GLASS 4.5KG,,,"7,839.00",
Bodega: 6 - COLSABOR UNICA,,,"7,839.00",
20503,TERMOENCOGIBLE GLASS 4.5KG,,"7,839.00",
Producto: 20507 - TUBULAR TRANSPARENTE,,,"20,002.06",
Bodega: 6 - COLSABOR UNICA,,,"20,002.06",
20507,TUBULAR TRANSPARENTE,,"20,002.06",
Producto: 20601 - BOLSA POLVO * 5 KG,,,"1,500.00",
Bodega: 6 - COLSABOR UNICA,,,"1,500.00",
20601,BOLSA POLVO * 5 KG,,"1,500.00",
"Producto: 20602 - BOLSA POLVOS * 2,5 KG",,,1.00,
Bodega: 6 - COLSABOR UNICA,,,1.00,
20602,"BOLSA POLVOS * 2,5 KG",,1.00,
Producto: 20604 - BOLSA POLVO * 1LB,,,1.00,
Bodega: 6 - COLSABOR UNICA,,,1.00,
20604,BOLSA POLVO * 1LB,,1.00,
"Producto: 20607 - BOLSA PARA SOLIDOS CON LOGO AZUCAR POLVO MEJOR * 2,5 KG",,,"3,976.00",
Bodega: 6 - COLSABOR UNICA,,,"3,976.00",
20607,"BOLSA PARA SOLIDOS CON LOGO AZUCAR POLVO MEJOR * 2,5 KG",,"3,976.00",
Producto: 20609 - BOLSA TRANSPARENTE 60 * 105 CMS,,,24.00,
Bodega: 6 - COLSABOR UNICA,,,24.00,
20609,BOLSA TRANSPARENTE 60 * 105 CMS,,24.00,
Producto: 20611 - BULTO 60X85 SIN IMPRESIÓN,,,201.00,
Bodega: 6 - COLSABOR UNICA,,,201.00,
20611,BULTO 60X85 SIN IMPRESIÓN,,201.00,
Producto: 20612 - BOLSA FLEX UP 13.3 X 21 TRANS. ( GLASS X LB ),,,465.00,
Bodega: 6 - COLSABOR UNICA,,,465.00,
20612,BOLSA FLEX UP 13.3 X 21 TRANS. ( GLASS X LB ),,465.00,
Producto: 20613 - BOLSA FLEX UP 16 X 24  TRANS ( GLASS X KG ),,,"1,176.00",
Bodega: 6 - COLSABOR UNICA,,,"1,176.00",
20613,BOLSA FLEX UP 16 X 24  TRANS ( GLASS X KG ),,"1,176.00",
Producto: 20616 - BOLSA ALUMINIZADA DE KG.,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
20616,BOLSA ALUMINIZADA DE KG.,,2.00,
Producto: 20618 - BOLSA ALUMINIZADA X LB.,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
20618,BOLSA ALUMINIZADA X LB.,,2.00,
Producto: 20619 - BOLSA ALUMINIZADA X 5 KG,,,1.00,
Bodega: 6 - COLSABOR UNICA,,,1.00,
20619,BOLSA ALUMINIZADA X 5 KG,,1.00,
Producto: 20620 - BOLSA PARA COLOR LOGO X 25 GMS,,,"135,801.00",
Bodega: 6 - COLSABOR UNICA,,,"135,801.00",
20620,BOLSA PARA COLOR LOGO X 25 GMS,,"135,801.00",
Producto: 20621 - BOLSA FLEX UP TRANS ( GLASS X 3.5 ),,,214.00,
Bodega: 6 - COLSABOR UNICA,,,214.00,
20621,BOLSA FLEX UP TRANS ( GLASS X 3.5 ),,214.00,
Producto: 20624 - BOLSA RELLENO SIN VALVULA X LB,,,254.00,
Bodega: 6 - COLSABOR UNICA,,,254.00,
20624,BOLSA RELLENO SIN VALVULA X LB,,254.00,
Producto: 20625 - BULTO SIN IMPRESION (50 X 85 CM),,,346.00,
Bodega: 6 - COLSABOR UNICA,,,346.00,
20625,BULTO SIN IMPRESION (50 X 85 CM),,346.00,
Producto: 20626 - BULTO SIN IMPRESION (40X60 CM),,,68.00,
Bodega: 6 - COLSABOR UNICA,,,68.00,
20626,BULTO SIN IMPRESION (40X60 CM),,68.00,
Producto: 30102 - ESENCIA COLSABOR AREQUIPE X 20 LT,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
30102,ESENCIA COLSABOR AREQUIPE X 20 LT,,2.00,
Producto: 30103 - ESENCIA COLSABOR BANANO X 20 LT,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
30103,ESENCIA COLSABOR BANANO X 20 LT,,2.00,
Producto: 30105 - ESENCIA COLSABOR COCO X 20 LT,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
30105,ESENCIA COLSABOR COCO X 20 LT,,2.00,
Producto: 30107 - ESENCIA COLSABOR MANTEQUILLA X 20 LT,,,16.00,
Bodega: 6 - COLSABOR UNICA,,,16.00,
30107,ESENCIA COLSABOR MANTEQUILLA X 20 LT,,16.00,
Producto: 30111 - ESENCIA COLSABOR PONQUE X 20 LT,,,3.00,
Bodega: 6 - COLSABOR UNICA,,,3.00,
30111,ESENCIA COLSABOR PONQUE X 20 LT,,3.00,
Producto: 30112 - ESENCIA COLSABOR QUESO X 20 LT,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
30112,ESENCIA COLSABOR QUESO X 20 LT,,2.00,
Producto: 30115 - ESENCIA COLSABOR VAINILLA NEGRA X 20 LT,,,6.00,
Bodega: 6 - COLSABOR UNICA,,,6.00,
30115,ESENCIA COLSABOR VAINILLA NEGRA X 20 LT,,6.00,
Producto: 30118 - ESENCIA COLSABOR CHOCOLATE X 20 LT.,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
30118,ESENCIA COLSABOR CHOCOLATE X 20 LT.,,2.00,
Producto: 30119 - ESENCIA COLSABOR LECHE CONDENSADA X 20 LTS,,,1.00,
Bodega: 6 - COLSABOR UNICA,,,1.00,
30119,ESENCIA COLSABOR LECHE CONDENSADA X 20 LTS,,1.00,
Producto: 30126 - ESENCIA COLSABOR GALLETA NEGRA X 25 KG.,,,5.00,
Bodega: 6 - COLSABOR UNICA,,,5.00,
30126,ESENCIA COLSABOR GALLETA NEGRA X 25 KG.,,5.00,
Producto: 30131 - ESENCIA COLSABOR MIEL X 20 LT,,,-1.00,
Bodega: Sin asignar,,,-1.00,
30131,ESENCIA COLSABOR MIEL X 20 LT,,-1.00,
Producto: 30137 - ESENCIA COLSABOR VAINILLA BLANCA TF X 20 LTS,,,1.00,
Bodega: 6 - COLSABOR UNICA,,,1.00,
30137,ESENCIA COLSABOR VAINILLA BLANCA TF X 20 LTS,,1.00,
Producto: 30201 - ESENCIA COLSABOR ALMENDRA X 3850 CC,,,2.00,
Bodega: 6 - COLSABOR UNICA,,,2.00,
30201,ESENCIA COLSABOR ALMENDRA X 3850 CC,,2.00,
