,,,,,,,,,,,
Ventas por producto,,,,,,,,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,,,,,,,,
811003961-9,,,,,,,,,,,
De Enero 01 2025 a Diciembre 31 2025 ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Código producto,Nombre producto,Referencia fábrica,Grupo inventario,Cantidad vendida,Valor bruto,Descuento,Subtotal,Impuesto cargo,Impuesto retención,Total,
107210,S210,,MATERIAS PRIMAS,"4,500.00","552,150.00",0.00,"552,150.00","104,908.50",0.00,"657,058.50",
107212,S212,,MATERIAS PRIMAS,"1,000.00","11,500.00",0.00,"11,500.00","2,185.00",0.00,"13,685.00",
107238,S238,,MATERIAS PRIMAS,"3,000.00","84,600.00",0.00,"84,600.00",0.00,0.00,"84,600.00",
,,,,,,,,,,,
,,,,,,,,,,,
30101,ESENCIA COLSABOR ANIS X 20 LTS,,PRODUCTO TERMINADO,1.00,"240,000.00",0.00,"240,000.00","45,600.00",0.00,"285,600.00",
30102,ESENCIA COLSABOR AREQUIPE X 20 LT,,PRODUCTO TERMINADO,14.00,"2,971,000.00",0.00,"2,971,000.00","564,490.00",0.00,"3,535,490.00",
30103,ESENCIA COLSABOR BANANO X 20 LT,,PRODUCTO TERMINADO,6.00,"1,439,900.00",0.00,"1,439,900.00","273,581.00",0.00,"1,713,481.00",
30104,ESENCIA COLSABOR CANELA X 20 LT,,PRODUCTO TERMINADO,9.00,"1,911,000.00",0.00,"1,911,000.00","363,090.00",0.00,"2,274,090.00",
30105,ESENCIA COLSABOR COCO X 20 LT,,PRODUCTO TERMINADO,5.00,"1,200,000.00",0.00,"1,200,000.00","228,000.00",0.00,"1,428,000.00",
30107,ESENCIA COLSABOR MANTEQUILLA X 20 LT,,PRODUCTO TERMINADO,57.00,"11,117,700.00",0.00,"11,117,700.00","2,112,363.00",0.00,"13,230,063.00",
30109,ESENCIA COLSABOR NARANJA X 20 LT,,PRODUCTO TERMINADO,6.00,"1,612,000.00",0.00,"1,612,000.00","306,280.00",0.00,"1,918,280.00",
30111,ESENCIA COLSABOR PONQUE X 20 LT,,PRODUCTO TERMINADO,4.00,"872,000.00",0.00,"872,000.00","165,680.00",0.00,"1,037,680.00",
30112,ESENCIA COLSABOR QUESO X 20 LT,,PRODUCTO TERMINADO,4.00,"872,000.00",0.00,"872,000.00","165,680.00",0.00,"1,037,680.00",
30115,ESENCIA COLSABOR VAINILLA NEGRA X 20 LT,,PRODUCTO TERMINADO,5.00,"1,200,000.00",0.00,"1,200,000.00","228,000.00",0.00,"1,428,000.00",
30118,ESENCIA COLSABOR CHOCOLATE X 20 LT.,,PRODUCTO TERMINADO,13.00,"2,841,000.00",0.00,"2,841,000.00","539,790.00",0.00,"3,380,790.00",
30119,ESENCIA COLSABOR LECHE CONDENSADA X 20 LTS,,PRODUCTO TERMINADO,9.00,"1,929,300.00",0.00,"1,929,300.00","366,567.00",0.00,"2,295,867.00",
30120,ESENCIA COLSABOR CARAMELO X 10 LTS.,,PRODUCTO TERMINADO,3.00,"359,850.00",0.00,"359,850.00","68,371.50",0.00,"428,221.50",
30128,ESENCIA COLSABOR CAFE X 20 LTS,,PRODUCTO TERMINADO,2.00,"473,000.00",0.00,"473,000.00","89,870.00",0.00,"562,870.00",
30132,ESENCIA COLSABOR CEREZA X 20 LT,,PRODUCTO TERMINADO,1.00,"145,000.00",0.00,"145,000.00","27,550.00",0.00,"172,550.00",
30134,ESENCIA COLSABOR MANZANA VERDE X 20 LTS,,PRODUCTO TERMINADO,1.00,"145,000.00",0.00,"145,000.00","27,550.00",0.00,"172,550.00",
30137,ESENCIA COLSABOR VAINILLA BLANCA TF X 20 LTS,,PRODUCTO TERMINADO,21.00,"5,726,700.00",0.00,"5,726,700.00","1,088,073.00",0.00,"6,814,773.00",
30140,ESENCIA COLSABOR ZANAHORIA X 20 LTS,,PRODUCTO TERMINADO,2.00,"260,000.00",0.00,"260,000.00","49,400.00",0.00,"309,400.00",
30201,ESENCIA COLSABOR ALMENDRA X 3850 CC,,PRODUCTO TERMINADO,8.00,"432,900.00",0.00,"432,900.00","82,251.00",0.00,"515,151.00",
30202,ESENCIA COLSABOR ANIS X 3850 CC,,PRODUCTO TERMINADO,2.00,"93,000.00",0.00,"93,000.00","17,670.00",0.00,"110,670.00",
30204,ESENCIA COLSABOR BANANO X 3850 CC,,PRODUCTO TERMINADO,26.00,"1,157,500.00",0.00,"1,157,500.00","219,925.00",0.00,"1,377,425.00",
30205,ESENCIA COLSABOR BRANDY X 3850 CC,,PRODUCTO TERMINADO,1.00,"58,000.00",0.00,"58,000.00","11,020.00",0.00,"69,020.00",
30206,ESENCIA COLSABOR CAFE X 3850 CC,,PRODUCTO TERMINADO,5.00,"251,900.00",0.00,"251,900.00","47,861.00",0.00,"299,761.00",
30207,ESENCIA COLSABOR CANELA X 3850 CC,,PRODUCTO TERMINADO,48.00,"3,006,000.00",0.00,"3,006,000.00","571,140.00",0.00,"3,577,140.00",
30208,ESENCIA COLSABOR CARAMELO X 3850 CC,,PRODUCTO TERMINADO,12.00,"619,750.00",0.00,"619,750.00","117,752.50",0.00,"737,502.50",
30209,ESENCIA COLSABOR CEREZA X 3850 CC,,PRODUCTO TERMINADO,9.00,"526,340.00",0.00,"526,340.00","100,004.60",0.00,"626,344.60",
30210,ESENCIA COLSABOR CLAVO DE OLOR X 3850 CC,,PRODUCTO TERMINADO,1.00,"35,000.00",0.00,"35,000.00","6,650.00",0.00,"41,650.00",
30211,ESENCIA COLSABOR COCO X 3850 CC,,PRODUCTO TERMINADO,55.00,"2,995,650.00",0.00,"2,995,650.00","569,173.50",0.00,"3,564,823.50",
30212,ESENCIA COLSABOR KOLA ROJA X 3850 CC,,PRODUCTO TERMINADO,1.00,"40,000.00",0.00,"40,000.00","7,600.00",0.00,"47,600.00",
30213,ESENCIA COLSABOR CHICLE X 3850 CC,,PRODUCTO TERMINADO,6.00,"325,600.00",0.00,"325,600.00","61,864.00",0.00,"387,464.00",
30214,ESENCIA COLSABOR CHOCOLATE X 3850 CC,,PRODUCTO TERMINADO,60.00,"2,291,200.00",0.00,"2,291,200.00","435,328.00",0.00,"2,726,528.00",
30216,ESENCIA COLSABOR FRAMBUESA X 3850 CC,,PRODUCTO TERMINADO,1.00,"40,000.00",0.00,"40,000.00","7,600.00",0.00,"47,600.00",
30217,ESENCIA COLSABOR FRESA X 3850 CC,,PRODUCTO TERMINADO,30.00,"1,435,000.00",0.00,"1,435,000.00","272,650.00",0.00,"1,707,650.00",
30219,ESENCIA COLSABOR HINOJO X 3850 CC,,PRODUCTO TERMINADO,12.00,"664,950.00",0.00,"664,950.00","126,340.50",0.00,"791,290.50",
30220,ESENCIA COLSABOR LECHE CONDENSADA X 3850 CC,,PRODUCTO TERMINADO,19.00,"976,500.00",0.00,"976,500.00","185,535.00",0.00,"1,162,035.00",
30221,ESENCIA COLSABOR LIMON X 3850 CC,,PRODUCTO TERMINADO,5.00,"263,060.00","2,985.00","260,075.00","49,414.25",0.00,"309,489.25",
30222,ESENCIA COLSABOR MENTA X 3850 CC,,PRODUCTO TERMINADO,4.00,"171,000.00",0.00,"171,000.00","32,490.00",0.00,"203,490.00",
30223,ESENCIA COLSABOR MANGO X 3850 CC,,PRODUCTO TERMINADO,1.00,"59,700.00",0.00,"59,700.00","11,343.00",0.00,"71,043.00",
30225,ESENCIA COLSABOR MANTECADO X 3850 CC,,PRODUCTO TERMINADO,19.00,"882,000.00",0.00,"882,000.00","167,580.00",0.00,"1,049,580.00",
30226,ESENCIA COLSABOR MANTEQUILLA X 3850 CC,,PRODUCTO TERMINADO,244.00,"11,679,550.00",0.00,"11,679,550.00","2,219,114.50",0.00,"13,898,664.50",
30228,ESENCIA COLSABOR MANZANA VERDE X 3850 CC,,PRODUCTO TERMINADO,13.00,"569,400.00",0.00,"569,400.00","108,186.00",0.00,"677,586.00",
30229,ESENCIA COLSABOR MARACUYA X 3850 CC,,PRODUCTO TERMINADO,26.00,"1,379,040.00",0.00,"1,379,040.00","262,017.60",0.00,"1,641,057.60",
30230,ESENCIA COLSABOR MANDARINA X 3850 CC,,PRODUCTO TERMINADO,5.00,"196,000.00",0.00,"196,000.00","37,240.00",0.00,"233,240.00",
30231,ESENCIA COLSABOR MIEL X 3850 CC,,PRODUCTO TERMINADO,54.00,"3,218,880.00",0.00,"3,218,880.00","611,587.20",0.00,"3,830,467.20",
30232,ESENCIA COLSABOR MORA X 3850 CC,,PRODUCTO TERMINADO,3.00,"128,120.00",0.00,"128,120.00","24,342.80",0.00,"152,462.80",
30236,ESENCIA COLSABOR PANETON X 3850 CC,,PRODUCTO TERMINADO,9.00,"538,764.00",0.00,"538,764.00","102,365.16",0.00,"641,129.16",
30237,ESENCIA COLSABOR PIÑA X 3850 CC,,PRODUCTO TERMINADO,26.00,"1,495,900.00",0.00,"1,495,900.00","284,221.00",0.00,"1,780,121.00",
30238,ESENCIA COLSABOR PONQUE X 3850 CC,,PRODUCTO TERMINADO,3.00,"73,001.00",0.00,"73,001.00","13,870.19",0.00,"86,871.19",
30239,ESENCIA COLSABOR QUESO X 3850 CC,,PRODUCTO TERMINADO,27.00,"1,425,420.00",0.00,"1,425,420.00","270,829.80",0.00,"1,696,249.80",
30241,ESENCIA COLSABOR RON CON PASAS X 3850 CC,,PRODUCTO TERMINADO,10.00,"554,100.00",0.00,"554,100.00","105,279.00",0.00,"659,379.00",
30247,ESENCIA COLSABOR VINO X 3850 CC,,PRODUCTO TERMINADO,14.00,"854,000.00",0.00,"854,000.00","162,260.00",0.00,"1,016,260.00",
30248,ESENCIA COLSABOR CREMA DE LECHE X 3850 CC,,PRODUCTO TERMINADO,13.00,"793,000.00",0.00,"793,000.00","150,670.00",0.00,"943,670.00",
30250,ESENCIA COLSABOR PISTACHO X 3850 CC,,PRODUCTO TERMINADO,2.00,"116,000.00",0.00,"116,000.00","22,040.00",0.00,"138,040.00",
30251,ESENCIA COLSABOR SANDIA X 3850 CC,,PRODUCTO TERMINADO,12.00,"633,900.00",0.00,"633,900.00","120,441.00",0.00,"754,341.00",
30252,ESENCIA COLSABOR AMARETTO X 3850 CC,,PRODUCTO TERMINADO,1.00,"35,000.00",0.00,"35,000.00","6,650.00",0.00,"41,650.00",
30253,ESENCIA COLSABOR MELOCOTON X 3850 CC,,PRODUCTO TERMINADO,5.00,"277,800.00",0.00,"277,800.00","52,782.00",0.00,"330,582.00",
30254,ESENCIA COLSABOR RON X 3850 CC,,PRODUCTO TERMINADO,14.00,"854,000.00",0.00,"854,000.00","162,260.00",0.00,"1,016,260.00",
30255,ESENCIA COLSABOR NATA X 3850 CC,,PRODUCTO TERMINADO,37.00,"1,868,000.00",0.00,"1,868,000.00","354,920.00",0.00,"2,222,920.00",
30258,ESENCIA COLSABOR TIRAMISU X 3850 CC.,,PRODUCTO TERMINADO,15.00,"894,000.00",0.00,"894,000.00","169,860.00",0.00,"1,063,860.00",
30263,ESENCIA COLSABOR VAINILLA BLANCA GOURMET X 3850 CC,,PRODUCTO TERMINADO,3.00,"150,000.00",0.00,"150,000.00","28,500.00",0.00,"178,500.00",
30264,ESENCIA COLSABOR VAINILLA NEGRA GOURMET X 3850 CC,,PRODUCTO TERMINADO,2.00,"112,000.00",0.00,"112,000.00","21,280.00",0.00,"133,280.00",
30265,ESENCIA COLSABOR PIÑA COLADA X 3850 CC,,PRODUCTO TERMINADO,9.00,"493,500.00",0.00,"493,500.00","93,765.00",0.00,"587,265.00",
30266,ESENCIA COLSABOR CREMA DE WHISKEY X 3850 CC,,PRODUCTO TERMINADO,16.00,"682,983.00",0.00,"682,983.00","129,766.77",0.00,"812,749.77",
30268,ESENCIA COLSABOR MANGO BICHE X 3850 CC,,PRODUCTO TERMINADO,9.00,"419,000.00",0.00,"419,000.00","79,610.00",0.00,"498,610.00",
30269,ESENCIA COLSABOR HUMO X 3850 CC,,PRODUCTO TERMINADO,1.00,"38,000.00",0.00,"38,000.00","7,220.00",0.00,"45,220.00",
30273,ESENCIA COLSABOR AVELLANA X 3850 CC,,PRODUCTO TERMINADO,1.00,"57,983.00",0.00,"57,983.00","11,016.77",0.00,"68,999.77",
30274,ESENCIA COLSABOR GALLETA NEGRA X 5 KG.,,PRODUCTO TERMINADO,84.00,"1,867,300.00",0.00,"1,867,300.00","354,787.00",0.00,"2,222,087.00",
30280,ESENCIA COLSABOR ZANAHORIA X 3850 CC,,PRODUCTO TERMINADO,37.00,"1,314,020.00",0.00,"1,314,020.00","249,663.80",0.00,"1,563,683.80",
30301,ESENCIA COLSABOR ALMENDRA X 500 CC,,PRODUCTO TERMINADO,43.00,"279,956.00","11,462.08","268,493.92","51,013.84",0.00,"319,507.76",
30302,ESENCIA COLSABOR ANIS X 500 CC,,PRODUCTO TERMINADO,152.00,"1,137,291.00","2,865.52","1,134,425.48","215,540.84",0.00,"1,349,966.32",
